date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2024-02-29,22175.264166666664,26123.79,19621.7
2024-03-01,22224.228333333333,25582.9,19594.56
2024-03-02,21390.225416666664,24974.14,19600.57
2024-03-03,20322.967916666665,24967.31,16911.79
2024-03-04,21740.317916666667,26568.9,18029.97
2024-03-05,21685.560833333333,26439.86,17653.54
2024-03-06,22395.595,26570.15,19875.29
2024-03-07,21741.289166666666,26046.48,18135.64
2024-03-08,20653.607500000002,25162.93,15548.54
2024-03-09,19301.54125,23549.47,14613.15
2024-03-10,18612.34956521739,23231.9,13671.26
2024-03-11,20826.635416666668,25241.13,17139.17
2024-03-12,21447.147083333333,25227.41,17948.71
2024-03-13,20836.607916666668,25136.97,16004.52
2024-03-14,20546.62958333333,24786.25,15685.2
2024-03-15,20852.431666666667,24751.11,16645.24
2024-03-16,18776.383333333335,23153.33,13170.34
2024-03-17,18038.506250000002,23117.72,12174.08
2024-03-18,20562.374583333334,25159.83,16821.04
2024-03-19,20879.4525,25643.22,16392.93
2024-03-20,20887.585416666665,25603.86,16242.87
2024-03-21,20493.7075,25163.16,15808.33
2024-03-22,20488.655,24339.48,16279.49
2024-03-23,20076.565416666668,23721.36,16757.08
2024-03-24,19162.83958333333,23595.46,15207.21
2024-03-25,20399.970416666667,24968.76,15864.36
2024-03-26,20829.32125,25249.32,16082.47
2024-03-27,21267.457916666666,25058.64,18091.13
2024-03-28,21061.242083333334,25025.55,17138.9
2024-03-29,21558.163333333334,24630.18,19099.06
2024-03-30,20255.263333333332,23649.59,17118.46
2024-03-31,19050.08625,23599.22,14463.67
2024-04-01,20280.03125,25058.22,15476.68
2024-04-02,20405.250416666666,25242.07,15678.81
2024-04-03,20599.506666666664,25316.22,16031.64
2024-04-04,22328.015,26135.93,19633.21
2024-04-05,21907.139166666664,25535.1,19097.75
2024-04-06,19019.381666666668,23541.24,12707.9
2024-04-07,18004.90375,23418.6,11227.5
2024-04-08,19991.98083333333,24799.41,14764.84
2024-04-09,20155.39375,25332.21,15397.9
2024-04-10,20516.729166666668,26013.98,15679.86
2024-04-11,20656.097083333334,26036.36,16182.14
2024-04-12,19863.21625,24280.53,15526.6
2024-04-13,20602.708333333332,23911.68,18543.83
2024-04-14,19173.855,24027.05,14914.34
2024-04-15,20214.444166666668,25323.6,15384.85
2024-04-16,20211.419166666667,25469.45,15244.11
2024-04-17,20409.37625,25694.75,15991.49
2024-04-18,20694.236666666668,25647.67,16882.14
2024-04-19,20064.765416666665,25081.28,15197.55
2024-04-20,18468.69,23843.29,12679.95
2024-04-21,18408.69208333333,25334.71,12317.25
2024-04-22,20723.39375,26371.1,16714.5
2024-04-23,20544.46125,25561.01,16053.91
2024-04-24,20802.01166666667,25503.88,16561.15
2024-04-25,21081.586666666666,25154.75,17797.86
2024-04-26,20729.653333333332,24799.15,17237.71
2024-04-27,18429.718333333334,23192.23,13391.83
2024-04-28,17664.832083333335,23316.33,12185.26
2024-04-29,19938.197083333333,25339.44,15980.2
2024-04-30,20406.760416666668,25574.61,16391.86
2024-05-01,20709.19208333333,25911.92,16429.11
2024-05-02,21400.43,26703.51,17426.63
2024-05-03,21260.32375,25918.57,17360.21
